perfil,horizonte,tA_perc,ctc_cmolc,ativ_arg_cmolc,grosseiros_perc,pH,c_org_perc,na_cmolc,exch.Na,k_cmolc,ca_cmolc,mg_cmolc,al_cmolc,sat_al_perc,p_ppm,SQI_perc,Back et al.
0.01,A,4,2.1,53,0,4.8,0.63,0.03,1.43,0.04,0.6,0.6,0.5,42,2,35.71,73
0.01,AC,4,1.6,40,0,4.2,0.59,0.03,1.88,0.03,0.3,0.3,0.5,56,1,28.57,47
0.01,C1,4,1,25,0,5,0.46,0.01,1,0.02,0.3,0.3,0.4,57,1,28.57,62
0.01,C2,5,1.6,32,0,4.8,0.32,0.01,0.63,0.02,0.2,0.2,0.8,80,1,28.57,62
0.01,C3,4,0.7,18,0,4.8,0.11,0.01,1.43,0.01,0.2,0.2,0.1,33,1,35.71,72
14,Ap,1,5.9,590,0,5,0.95,0.08,1.36,0.03,1,0.8,0.4,17,1,35.71,72
14,II C1,2,4,200,0,5.4,0.54,0.06,1.5,0.01,0.6,0.4,0.2,15,1,35.71,87
14,II C2,2,3.8,190,0,5.2,0.4,0.06,1.58,0.01,0.8,0.8,0.2,18,1,35.71,72
35,A,71,17.9,25,2,4.9,3.56,0.15,0.84,0.32,1.6,0.6,4.3,61,1,42.86,73
61,A,65,25.9,40,0,4.8,4.18,0.04,0.15,0.26,0.8,0.3,5.9,81,1,42.86,93
61,AC,66,19.4,29,2,4.9,1.43,0.02,0.1,0.07,0.1,0.1,5,96,1,28.57,73
61,C,48,9.6,20,40,5.1,0.89,0.02,0.21,0.03,0.1,0.1,3.4,94,1,21.43,123
50,A1,54,37.8,70,1,4.2,6.6,0.1,0.26,0.51,2,0.2,6.6,70,1,50,138
50,A2,41,24.8,60,24,4.3,4.98,0.07,0.28,0.21,0.7,0.7,6.1,86,1,35.71,123
51,A1,59,24.1,41,2,4,4.08,0.07,0.29,0.3,1.2,0.4,11.5,85,1,35.71,118
51,A2,59,24.1,41,0,4,4,0.06,0.25,0.16,0.8,0.8,12.7,93,1,28.57,118
51,C1,77,19.9,26,0,4.2,0.69,0.1,0.5,0.38,0.6,0.6,16.4,93,2,35.71,59
44,A,47,32,68,3,5.3,2.02,0.14,0.44,0.61,19.8,6,0,0,1,78.57,163
44,C,17,52.5,309,0,4.8,0.66,0.11,0.21,0.22,31.3,16.4,1.1,2,1,57.14,112
10,A,27,8.8,33,29,5.1,0.9,0.21,2.39,0.23,4.4,0.9,0.5,8,1,42.86,93
10,C,20,4.5,23,46,5.4,0.11,0.18,4,0.16,1.9,0.6,0.9,24,1,35.71,108
23,Ap,25,23.7,95,18,5.7,1.58,0.3,1.27,0.52,14.9,2.2,0,0,7,78.57,140
49,A,20,21.2,106,15,5.6,1.78,0.16,0.75,0.38,17,2.1,0,0,2,78.57,129
69,Ap,24,17,71,6,6.1,1.56,0.12,0.71,0.95,12.5,1.3,0,0,41,78.57,122
