perfil,horizonte,tA_perc,ctc_cmolc,ativ_arg_cmolc,grosseiros_perc,pH,c_org_perc,na_cmolc,exch.Na,k_cmolc,ca_cmolc,mg_cmolc,al_cmolc,sat_al_perc,p_ppm,SQI_perc,Back et al.
56,C2,47,9.3,19.79,8,5.4,0.1,0.03,0.32,0.04,0.6,0.6,2.2,76,18,28.57,152
66,Ap,65,16,24.62,0,4.8,2.87,0.05,0.31,0.24,1.2,0.5,3.5,64,2,35.71,84
66,AB,66,12.3,18.64,0,4.9,1.82,0.03,0.24,0.07,0.3,0.3,3.8,90,1,28.57,83
66,BA,69,10,14.49,1,5.1,1.26,0.03,0.3,0.04,0.3,0.3,3.3,89,1,28.57,83
66,Bt,68,6.1,8.97,0,5.4,0.48,0.02,0.33,0.02,0.1,0.1,1.4,93,1,21.43,98
66,BC1,66,5.5,8.33,1,5.4,0.21,0.02,0.36,0.02,0.1,0.1,1,91,3,28.57,112
66,BC2,64,5.9,9.22,0,5.3,0.13,0.03,0.51,0.02,0.1,0.1,1.5,88,3,21.43,87
66,C,43,7.8,18.14,0,5.1,0.12,0.05,0.64,0.03,0.1,0.1,4.2,95,4,21.43,117
34,A,76,19.7,25.92,0,4.7,4.18,0.15,0.76,0.4,1.3,0.4,5.7,71,1,42.86,73
34,AB,80,8.6,10.75,1,5,0.89,0.04,0.47,0.04,0.1,0.1,4,95,1,21.43,83
34,Bt,77,7.3,9.48,1,5.2,0.64,0.06,0.82,0.04,0.2,0.2,2.7,90,1,21.43,83
34,BC,73,7.9,10.82,1,5.3,0.43,0.06,0.76,0.07,0.2,0.2,3.1,91,1,21.43,73
64,Ap1,63,30,47.62,0,4.5,4.63,0.04,0.13,0.49,2.3,1.4,5.9,53,5,50,117
64,Ap2,67,23,34.33,0,4.5,2.97,0.03,0.13,0.11,0.3,0.3,7.2,95,1,28.57,93
64,AB,70,18.8,26.86,0,4.4,2.08,0.02,0.11,0.04,0.1,0.1,6.5,97,1,28.57,73
64,BA,68,15,22.06,3,4.6,1.39,0.03,0.2,0.04,0.1,0.1,5.8,97,1,28.57,73
64,Bt1,60,10.4,17.33,6,4.5,0.68,0.03,0.29,0.04,0.1,0.1,4.8,96,1,21.43,73
64,Bt2,60,8.5,14.17,2,4.6,0.41,0.02,0.24,0.04,0.1,0.1,4,95,1,21.43,83
64,Bt3,60,8.1,13.5,1,5,0.26,0.02,0.25,0.03,0.1,0.1,3.6,95,2,21.43,84
64,BC,60,7.6,12.67,1,5,0.25,0.02,0.26,0.02,0.1,0.1,3.4,97,3,21.43,97
64,C,22,11.2,50.91,51,5.2,0.13,0.03,0.27,0.05,0.1,0.1,6.7,97,7,14.29,85
71,A,71,23.1,32.54,0,4.3,3.67,0.07,0.3,0.34,1.2,0.3,5.3,74,1,42.86,83
71,AB,71,18.4,25.92,0,4.3,1.89,0.1,0.54,0.16,0.9,0.9,5.1,81,1,42.86,63
71,Bt1,72,12.6,17.5,0,4.2,1.41,0.07,0.56,0.06,0.4,0.4,4.9,91,1,28.57,58
71,Bt2,73,9.9,13.56,1,4.9,1.13,0.07,0.71,0.06,0.2,0.2,4.7,94,2,28.57,74
71,BC,61,11.9,19.51,0,4.3,0.61,0.06,0.5,0.12,0.2,0.2,7.9,94,1,21.43,63
73,Ap,76,19.5,25.66,0,4.1,3.14,0.06,0.31,0.03,3.5,1.3,2.4,33,1,42.86,78
73,AB,78,16.8,21.54,0,4.3,2.48,0.08,0.48,0.16,0.7,0.7,4.8,84,1,35.71,63
73,BA,80,14.5,18.13,0,4.1,1.97,0.06,0.41,0.07,0.5,0.5,4.6,88,1,28.57,58
73,Bt1,84,11.4,13.57,0,4.2,1.32,0.09,0.79,0.04,0.2,0.2,4.3,93,1,28.57,58
73,Bt2,87,8.6,9.89,1,4,0.71,0.05,0.58,0.03,0.2,0.2,2.7,90,2,14.29,69
59,A,59,23.4,39.66,0,5,2.91,0.12,0.51,1.51,6.8,2.3,0.8,7,3,71.43,167
59,AB,66,23.8,36.06,0,4.6,1.9,0.05,0.21,0.63,1.7,0.7,5.7,65,1,42.86,93
59,Bt1,77,17.5,22.73,0,4.8,1.14,0.02,0.11,0.15,0.7,0.7,9.8,92,1,35.71,73
59,Bt2,67,16.5,24.63,0,5,0.41,0.02,0.12,0.11,0.7,0.7,11,93,1,28.57,73
59,BC,56,18.9,33.75,0,5.2,0.22,0.02,0.11,0.11,1.3,0.4,13.1,88,1,28.57,113
59,C,45,26.1,58,0,5.1,0.15,0.02,0.08,0.12,2.9,0.6,19,84,2,28.57,134
59,R,20,38.5,192.5,0,5.1,0.04,0.03,0.08,0.07,7.9,0.3,28.6,78,1,35.71,113
26,AP,41,18.9,46.1,2,6,1.14,0.07,0.37,0.1,11.5,2.9,0,0,6,71.43,162
26,2Bt1,72,14.1,19.58,0,5.4,0.81,0.07,0.5,0.09,5.8,1.7,0.8,9,1,50,108
26,2Bt2,70,15.9,22.71,0,5.6,0.59,0.07,0.44,0.1,5.3,4,0.8,8,1,57.14,108
26,BC,69,14.2,20.58,0,5.4,0.5,0.22,1.55,0.1,6.5,0.5,2.1,22,6,35.71,122
45,Ap,47,19.5,41.49,3,5.3,1.92,0.1,0.51,0.68,13.5,1.6,0,0,1,71.43,123
45,Bt1,57,16.8,29.47,2,5.5,1.2,0.08,0.48,0.12,11.4,2,0,0,1,57.14,148
45,Bt2,69,16.5,23.91,1,5.2,1,0.05,0.3,0.11,10,3.5,0,0,1,64.29,93
45,Bt3,64,16.2,25.31,1,4.7,0.93,0.09,0.56,0.1,6.3,3.3,1.4,13,1,42.86,93
0.05,Ap,42,13.9,33.1,0,5.1,1.92,0.1,0.72,0.16,1.5,3,4.8,50,1,42.86,133
0.05,AB,46,13.3,28.91,0,4.9,1.41,0.06,0.45,0.08,1.7,0.2,8,80,1,35.71,113
0.05,BA,53,13.9,26.23,0,4.7,0.61,0.05,0.36,0.06,0.6,0.6,10.3,94,1,28.57,113
0.05,Bt1,50,12.2,24.4,0,4.7,0.36,0.05,0.41,0.05,0.3,0.3,10,96,1,21.43,113
0.05,Bt2,48,11.8,24.58,0,4.7,0.31,0.06,0.51,0.08,0.3,0.3,10.1,96,1,21.43,113
0.05,BC,47,11.5,24.47,0,4.7,0.25,0.06,0.52,0.08,0.3,0.3,10,96,1,21.43,113
12,Ap,37,10.3,27.84,3,4.3,1.96,0.13,1.26,0.11,1.2,0.3,2.3,58,1,35.71,113
12,AB,51,6.5,12.75,2,4.4,0.47,0.07,1.08,0.01,0.8,0.5,2.1,60,1,28.57,123
12,Bt1,64,11.2,17.5,2,4.6,0.41,0.06,0.54,0.01,1.1,5.2,0.8,11,1,50,93
12,Bt2,66,4.9,7.42,1,4.6,0.36,0.06,1.22,0.01,0.5,0.5,1.7,74,1,21.43,83
13,Ap,37,11.7,31.62,0,4.8,2.12,0.12,1.03,0.07,1.5,1.7,2.2,39,1,42.86,133
13,Bt1,49,6.3,12.86,0,4.8,0.42,0.06,0.95,0.01,0.7,0.7,3.7,82,1,28.57,123
13,Bt2,45,6.7,14.89,0,4.9,0.33,0.06,0.9,0.01,0.8,1,3.1,62,1,35.71,123
13,BC1,33,6.9,20.91,0,4.9,0.18,0.05,0.72,0.01,0.8,1,3.5,65,1,35.71,83
13,BC2,22,5,22.73,0,4.7,0.12,0.05,1,0.01,0.1,0.1,3.9,95,1,21.43,83
0.03,Ap,30,6.5,21.67,35,4.5,1.53,0.08,1.23,0.11,1.2,0.3,1.2,41,1,35.71,93
0.03,AB,32,5.3,16.56,36,4.7,1.19,0.05,0.94,0.05,1,0.1,1.5,56,1,35.71,83
0.03,BA,37,4.4,11.89,38,4.9,0.76,0.03,0.68,0.04,1,0.1,1.3,52,1,28.57,123
0.03,Bt,62,6.2,10,12,4.8,0.74,0.02,0.32,0.03,1.5,0.2,1.3,42,1,28.57,93
0.03,BC,49,4.4,8.98,12,4.7,0.31,0.06,1.36,0.07,0.6,0.6,2.1,75,1,28.57,123
0.03,C,39,3.8,9.74,21,4.7,0.25,0.06,1.58,0.08,0.4,0.4,2.1,81,1,21.43,123
20,Ap,32,10.4,32.5,99,4.8,1.71,0.12,1.15,0.08,2.7,0.5,1,23,1,35.71,93
20,BA,43,7.8,18.14,100,5.1,0.65,0.07,0.9,0.02,0.1,0.1,3.3,94,1,14.29,123
20,Bt,75,6.3,8.4,99,4.8,0.59,0.06,0.95,0.02,0.6,0.6,2.3,77,1,21.43,83
20,2BC,37,4.9,13.24,89,5,0.32,0.06,1.22,0.02,0.1,0.1,2.3,92,2,14.29,124
15,A,51,18.9,37.06,0,3.5,3.66,0.16,0.85,0.17,0.8,0.8,5.6,84,3,28.57,112
15,BA,59,7.7,13.05,0,4.5,0.97,0.05,0.65,0.03,0.4,0.4,2.6,84,1,21.43,123
15,Bt1,66,6,9.09,1,4.4,0.54,0.04,0.67,0.02,0.1,0.1,1.9,90,1,21.43,83
15,Bt2,64,5.3,8.28,0,4.5,0.41,0.04,0.75,0.01,0.1,0.1,1.6,89,1,21.43,83
15,Bt3,65,4.9,7.54,1,4.4,0.25,0.04,0.82,0.01,0.1,0.1,1.4,88,1,21.43,83
15,BC,29,3,10.34,0,4.8,0.06,0.05,1.67,0.02,0.1,0.1,1.1,85,1,21.43,73
39,A,49,10.5,21.43,0,4.2,1.85,0.13,1.24,0.13,0.7,0.7,2.7,73,2,35.71,109
39,BA,55,6.7,12.18,0,4.3,0.82,0.06,0.9,0.03,0.3,0.3,2.5,86,1,21.43,113
39,Bt,68,6.2,9.12,0,4.4,0.49,0.05,0.81,0.02,0.1,0.1,2.7,93,1,21.43,83
39,BC,62,5.4,8.71,0,4.5,0.41,0.05,0.93,0.02,0.1,0.1,2.4,92,1,21.43,83
39,C,44,4.3,9.77,0,4.4,0.2,0.07,1.63,0.02,0.1,0.1,2.4,92,1,21.43,123
16,Ap,0,10.7,0,4,4.2,1.79,0.15,1.4,0.08,1.5,0.5,2.7,0,2,35.71,58
16,BA1,45,8,17.78,0,4.4,0.61,0.07,0.88,0.03,0.3,0.3,3.6,0,1,21.43,133
16,BA2,0,7.5,0,8,4.4,0.48,0.05,0.67,0.02,0.1,0.1,3.7,0,1,21.43,72
16,Bt1,69,8.3,12.03,8,4.5,0.5,0.05,0.6,0.01,0.1,0.1,4.1,0,1,21.43,93
